Font Name,Description
opensans,"Open Sans is a humanist sans serif typeface designed by Steve Matteson, Type Director of Ascender Corp.
This version contains the complete 897 character set, which includes the standard ISO Latin 1, Latin CE, Greek and Cyrillic character sets.
Open Sans was designed with an upright stress, open forms and a neutral, yet friendly appearance.
It was optimized for print, web, and mobile interfaces, and has excellent legibility characteristics in its letterforms.
 
 
In March 2021, the family has been updated to a variable font family and it also includes Hebrew, and unified and simplified the licensing under OFL.
 
 
To contribute, see  github.com/googlefonts/opensans"
roboto,"Roboto has a dual nature. 
It has a mechanical skeleton and the forms are largely geometric. 
At the same time, the font features friendly and open curves. 
While some grotesks distort their letterforms to force a rigid rhythm, Roboto doesn’t compromise, allowing letters to be settled into their natural width. 
This makes for a more natural reading rhythm more commonly found in humanist and serif types.
 
 
 Updated July 2020:  Upgraded to a variable font with Weight and Width axes, that closely match the previous static fonts released as two families, this one and a sibling Roboto Condensed family. 
 
 
Roboto is part of a superfamily set that includes  Roboto Slab  and  Roboto Mono 
 
 
To report issues or contribute, see  github.com/TypeNetwork/Roboto . This repository also contains further font builds for different platforms."
montserrat,"The old posters and signs in the traditional  Montserrat  neighborhood of Buenos Aires inspired Julieta Ulanovsky to design this typeface and rescue the beauty of urban typography that emerged in the first half of the twentieth century. 
As urban development changes that place, it will never return to its original form and loses forever the designs that are so special and unique. 
The letters that inspired this project have work, dedication, care, color, contrast, light and life, day and night! 
These are the types that make the city look so beautiful.
The Montserrat Project began with the idea to rescue what is in Montserrat and set it free under a libre license, the SIL Open Font License.
 
 
This is the normal family, and it has two sister families so far,  Alternates  and  Subrayada . 
Many of the letterforms are special in the Alternates family, while 'Subrayada' means 'Underlined' in Spanish and celebrates a special style of underline that is integrated into the letterforms found in the  Montserrat  neighborhood.
 
 
Updated November 2017: The family was redrawn by Jacques Le Bailly at  Baron von Fonthausen  over the summer, and the full set of weights were adjusted to make the Regular lighter and better for use in longer texts. 
In fall, Julieta Ulanovsky, Sol Matas, and Juan Pablo del Peral, led the development of Cyrillic support, with consultation with Carolina Giovagnoli, Maria Doreuli, and Alexei Vanyashin.
 
 
The Montserrat project is led by Julieta Ulanovsky, a type designer based in Buenos Aires, Argentina. 
To contribute, see  github.com/JulietaUla/Montserrat"
poppins,"Geometric sans serif typefaces have always been popular, and with support for both the Devanagari and Latin writing systems, Poppins is an internationalist addition to the genre.
 
 
Many of the Latin glyphs (such as the ampersand) are more constructed and rationalist than is typical. 
The Devanagari design was particularly novel when it was first published in 2015, and was the first ever Devanagari typeface with a range of weights in this genre.
Just like the Latin, the Devanagari is based on pure geometry, particularly circles.
 
 
Each letterform is nearly monolinear, with optical corrections applied to stroke joints where necessary to maintain an even typographic color. 
The Devanagari base character height and the Latin ascender height are equal;
Latin capital letters are shorter than the Devanagari characters, and the Latin x-height is set rather high.
 
 
The project was developed by Indian Type Foundry (ITF).
The Devanagari was initially designed by Ninad Kale, while the Latin was initially designed by Jonny Pinhorn.
Following their principal phase of designing the first 5 styles, the typeface was later refined, and expanded to include multiple weights and italics, by the ITF studio team.
 
 
To contribute, see  github.com/itfoundry/poppins"
lato,"Lato means “Summer” in Polish, and it is a sans serif typeface family started in the summer of 2010 by Warsaw-based designer Łukasz Dziedzic.
Originally conceived as part of a corporate identity for a large client, the family became available for a public release when they decided to go in different stylistic direction. 
 
 
Łukasz tried to carefully balance some potentially conflicting priorities in the design; 
to create a typeface that seems “transparent” when used in body text but also displays original traits in larger size use. 
Classical proportions, particularly in the uppercase, give the letterforms familiar harmony and elegance, and combine with a sleek treatement that feels contemporary without being trendy. 
Semi-rounded details feel warm, while the underlying structure provides stability and seriousness. 
“Serious but friendly, with the feeling of the Summer,” said Łukasz. 
 
 
Learn more at  latofonts.com"
merriweather,"Merriweather was designed to be a text face that is pleasant to read on screens.
It features a very large x height, slightly condensed letterforms, a mild diagonal stress, sturdy serifs and open forms.
 
 
There is also  Merriweather Sans , a sans-serif version which closely harmonizes with the weights and styles of this serif family.
 
 
The Merriweather project is led by Sorkin Type, a type design foundry based in Western Massachaussets, USA.
To contribute, see  github.com/SorkinType/Merriweather"
playfairdisplay,"Playfair is a transitional design. 
In the European Enlightenment in the late 18th century, broad nib quills were replaced by pointed steel pens as the popular writing tool of the day.
Together with developments in printing technology, ink, and paper making, it became fashionable to print letterforms of high contrast and delicate hairlines that were increasingly detached from the written letterforms.
This design lends itself to this period, and while it is not a revival of any particular design, it takes influence from the designs of John Baskerville and from ‘Scotch Roman’ designs.
 
 
This typeface was initially published in 2011, and had a major update in 2017.
Being a Display (large size) design in the transitional genre, functionally and stylistically it can accompany Georgia or  Gelasio  for body text.
It was succeeded in 2023 by the complete  Playfair  design, which as a variable font includes body text designs in the optical size axis.
 
 
This is the main family, with a sibling  Playfair Display SC  small caps family. 
The main family downloaded font files include a full set of small caps, common ligatures, and discretionary ligatures.
 
 
The Playfair project is led by Claus Eggers Sørensen, a type designer based in Amsterdam, Netherlands. 
To contribute, see  github.com/clauseggers/Playfair-Display"
sourcecodepro,"Source Code was designed by Paul D. Hunt as a companion to Source Sans.This complementary family was adapted from the Source design due to a request to create a monospaced version for coding applications. Source Code preserves the design features and vertical proportions of Source Sans, but alters the glyph widths so that they are uniform across all glyphs and weights. 
 Although this family was designed specifically for coding environments, for which a regular weight will typically suffice, Source Code has been made available in the same weight range as the corresponding Source Sans design.Source Code Pro currently supports a wide range of languages using the Latin script, and includes all the characters in the Adobe Latin 4 glyph set. 
 As an open source project, it is expected that incremental updates will be made over time to extend glyph set coverage and functionality. In 2019, we have updated the family to  Roman v2.030 and Italic v1.050 . This update now supports Greek, Cyrillic, Vietnamese and Italic styles. 
 To contribute, see  github.com/adobe-fonts/source-code-pro ."
inconsolata,"Inconsolata was Raph Levien's first serious original font release. 
It is a monospace font, designed for printed code listings and the like. 
There are a great many “programmer fonts,” designed primarily for use on the screen, but in most cases do not have the attention to detail for high resolution rendering.
 
 
Inconsolata draws from many inspirations and sources. 
I was particularly struck by the beauty of Luc(as) de Groot's Consolas, which is his monospaced design for Microsoft's Vista release. 
This font, similar to his earlier TheSansMono, demonstrated clearly to me that monospaced fonts do not have to suck.
 
 
The development of the Regular style by Raph Levien was started in 2006 using his own Spiro-based tools and FontForge.
The Bold style was designed by Kirill Tkachev and the Cyreal foundry in 2012.
 
 
 Updated September 2015:  Internal metadata corrected.
 
 
 Updated April 2020:  Family has been upgraded to a variable font family.
 
 To contribute, see  github.com/googlefonts/inconsolata ."
dancingscript,"Dancing Script is a lively casual script where the letters bounce and change size slightly. Caps are big, and goes below the baseline.   Dancing Script references popular scripts typefaces from the 50's.   It relates to Murray Hill (Emil Klumpp. 1956) in his weight distribution, and to Mistral (Roger Excoffon. 1953) in his lively bouncing effect.   Use it when you want a friendly, informal and spontaneous look.   Updated May 18th 2011 with bold! 
 In November 2019, it was updated with a Variable Font ""Weight"" axis. 
 To contribute, see  github.com/impallari/DancingScript ."
