Font Name,Summarized Description
opensans,"Open Sans is a humanist sans serif typeface designed by Steve Matteson, Type Director of Ascender Corp It was optimized for print, web, and mobile interfaces, and has excellent legibility characteristics in its letterforms"
roboto,It has a mechanical skeleton and the forms are largely geometric This makes for a more natural reading rhythm more commonly found in humanist and serif types
montserrat,"The old posters and signs in the traditional  Montserrat  neighborhood of Buenos Aires inspired Julieta Ulanovsky to design this typeface and rescue the beauty of urban typography that emerged in the first half of the twentieth century The letters that inspired this project have work, dedication, care, color, contrast, light and life, day and night! 
These are the types that make the city look so beautiful"
poppins,"Geometric sans serif typefaces have always been popular, and with support for both the Devanagari and Latin writing systems, Poppins is an internationalist addition to the genre The Devanagari design was particularly novel when it was first published in 2015, and was the first ever Devanagari typeface with a range of weights in this genre"
lato,"Lato means “Summer” in Polish, and it is a sans serif typeface family started in the summer of 2010 by Warsaw-based designer Łukasz Dziedzic Łukasz tried to carefully balance some potentially conflicting priorities in the design; 
to create a typeface that seems “transparent” when used in body text but also displays original traits in larger size use"
merriweather,"It features a very large x height, slightly condensed letterforms, a mild diagonal stress, sturdy serifs and open forms There is also  Merriweather Sans , a sans-serif version which closely harmonizes with the weights and styles of this serif family"
playfairdisplay,"In the European Enlightenment in the late 18th century, broad nib quills were replaced by pointed steel pens as the popular writing tool of the day Together with developments in printing technology, ink, and paper making, it became fashionable to print letterforms of high contrast and delicate hairlines that were increasingly detached from the written letterforms"
sourcecodepro,"This complementary family was adapted from the Source design due to a request to create a monospaced version for coding applications Source Code preserves the design features and vertical proportions of Source Sans, but alters the glyph widths so that they are uniform across all glyphs and weights"
inconsolata,"It is a monospace font, designed for printed code listings and the like I was particularly struck by the beauty of Luc(as) de Groot's Consolas, which is his monospaced design for Microsoft's Vista release"
dancingscript,Dancing Script is a lively casual script where the letters bounce and change size slightly Dancing Script references popular scripts typefaces from the 50's
oswald,"Oswald is a reworking of the classic style historically represented by the 'Alternate Gothic' sans serif typefaces Oswald is designed to be used freely across the internet by web browsers on desktop computers, laptops and mobile devices"
kanit,"Kanit means mathematics in Thai, and the Kanit typeface family is a formal Loopless Thai and Sans Latin design It is a combination of concepts, mixing a Humanist Sans Serif motif with the curves of Capsulated Geometric styles that makes it suitable for various uses, contemporary and futuristic"
firasans,"Designed to integrate with the character of the Mozilla FirefoxOS, the Fira typefaces also aim to cover the legibility needs for a large range of handsets varying in screen quality and rendering The Fira font family comes in 3 widths, all accompanied by italic styles"
nunito,"Nunito is a well balanced sans serif typeface superfamily, with 2 versions:
    The project began with Nunito, created by Vernon Adams as a rounded terminal sans serif for display typography Jacques Le Bailly extended it to a full set of weights, and an accompanying regular non-rounded terminal version,  Nunito Sans"
raleway,"Raleway is an elegant sans-serif typeface family Initially designed by Matt McInerney as a single thin weight, it was expanded into a 9 weight family by Pablo Impallari and Rodrigo Fuenzalida in 2012 and iKerned by Igino Marini"
abrilfatface,"Abril Fatface is part of a bigger type family system, Abril, which includes 18 styles for all Display and Text uses The titling weights are a contemporary revamp of classic Didone styles, display both neutrality and strong presence on the page to attract reader attention with measured tension by its curves, good color and high contrast"
alegreya,"Alegreya is a typeface originally intended for literature Also, it provides freshness to the page while referring to the calligraphic letter, not as a literal interpretation, but rather in a contemporary typographic language"
cabin,"Cabin is a humanist sans inspired by Edward Johnston's and Eric Gill's typefaces, with a touch of modernism Cabin incorporates modern proportions, optical adjustments, and some elements of the geometric sans"
courgette,"Foundry:  Sorkin Type Co 
 Courgette is a medium low contrast brushy italic script type A brushy italic style is traditionally for display and unsurprisingly Courgette works well in display"
hind,"Hind is an Open Source typeface supporting the Devanagari and Latin scripts Developed explicitly for use in User Interface design, the Hind font family includes five styles"
ptserif,PT Serif™ is the second pan-Cyrillic font family developed for the project “Public Types of the Russian Federation This makes them a unique and very important tool for modern digital communications
manrope,"Manrope is an open-source modern sans-serif font family, designed by Mikhail Sharanda in 2018"
balsamiqsans,"The font contains 942 glyphs in 2 weights with italics/obliques, and includes the basic and extended latin character set, Cyrillic, Basic Symbols and Dingbats, Math and Technical Symbols, and punctuation 
 To contribute, see  github"
overpass,"Overpass is a free, Open Source typeface designed by  Delve Fonts Starting from those specifications, critical adjustments were made to the letterforms to create an optimal presentation at smaller sizes on-screen and later for display sizes, especially in the lighter weights"
saira,"Saira is a sans serif system It features a huge range of weights and widths, ready for all kind of typographic challenges"
